[00:01:01] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: N/A
[01:12:46] OCR Snapshot: 6.8587 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.31%
[01:13:54] OCR Snapshot: 6.8541 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.37%
[01:15:03] OCR Snapshot: 6.8587 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.31%
[01:16:11] OCR Snapshot: 6.8652 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.21%
[01:17:20] OCR Snapshot: 6.8652 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.21%
[01:18:28] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:19:37] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:20:45] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:21:54] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:23:02] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:24:11] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:25:20] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:26:30] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:27:39] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:28:48] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:29:58] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:31:09] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:32:18] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:33:28] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:34:37] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:35:47] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:36:56] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:38:06] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:39:15] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:40:24] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:41:34] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:42:44] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:43:53] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:45:03] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:46:13] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:47:23] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:48:32] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:49:42] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:50:53] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:52:02] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:53:12] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:54:22] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:55:32] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:56:41] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:57:50] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[01:59:00] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:00:09] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:01:19] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:02:29] OCR Snapshot: 6.8703 | USD/KZT: 464.16 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8747 | Diff: 0.06%
[02:03:38] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:04:48] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:05:57] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:07:06] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:08:17] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:09:26] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:10:35] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:11:45] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:12:54] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:14:05] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:15:14] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:16:24] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:17:34] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:18:43] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:19:53] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:21:02] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:22:12] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:23:25] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:24:34] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:25:44] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:26:53] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:28:03] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:29:13] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:30:30] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:31:40] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:32:50] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:33:59] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:35:12] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:36:21] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:37:30] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:38:38] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:39:47] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:40:55] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:42:05] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:43:14] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:44:22] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:45:34] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:46:45] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:47:53] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:49:02] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:50:10] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:51:19] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:52:27] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:53:35] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:54:44] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:55:52] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:57:01] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:58:10] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[02:59:19] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:00:28] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:01:37] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:02:45] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:03:54] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:05:02] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
