[07:42:55] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: N/A
[10:38:00] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:39:10] OCR Snapshot: 6.7906 | USD/KZT: 464.25 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8040 | Diff: 0.20%
[10:40:18] OCR Snapshot: 6.7906 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.07%
[10:41:27] OCR Snapshot: 6.7906 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.07%
[10:42:37] OCR Snapshot: 6.7906 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.07%
[10:43:46] OCR Snapshot: 6.7906 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.07%
[10:44:54] OCR Snapshot: 6.7614 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.50%
[10:46:02] OCR Snapshot: 6.7614 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.50%
[10:47:11] OCR Snapshot: 6.7614 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.50%
[10:48:19] OCR Snapshot: 6.7614 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.50%
[10:49:27] OCR Snapshot: 6.7614 | USD/KZT: 463.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7952 | Diff: 0.50%
[10:50:36] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:51:44] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:52:52] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:54:00] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:55:08] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:56:17] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:57:26] OCR Snapshot: 6.7614 | USD/KZT: 462.94 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7848 | Diff: 0.35%
[10:58:35] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[10:59:43] OCR Snapshot: 6.7614 | USD/KZT: 463.37 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7911 | Diff: 0.44%
[11:00:51] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:01:59] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:03:08] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:04:16] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:05:24] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:06:32] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:07:44] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:08:52] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:10:00] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7867 | Diff: 0.37%
[11:11:08] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:12:16] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:13:24] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:14:32] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:15:42] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:16:50] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:17:57] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:19:05] OCR Snapshot: 6.7614 | USD/KZT: 463.06 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7865 | Diff: 0.37%
[11:20:13] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:21:21] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:22:29] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:23:37] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:24:45] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:25:53] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:27:04] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:28:12] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:29:20] OCR Snapshot: 6.7614 | USD/KZT: 462.44 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7776 | Diff: 0.24%
[11:30:28] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:31:36] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:32:44] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:33:52] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:35:01] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:36:09] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:37:16] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:38:25] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:39:34] OCR Snapshot: 6.7614 | USD/KZT: 462.45 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7777 | Diff: 0.24%
[11:40:42] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:41:51] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:42:59] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:44:07] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:45:17] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:46:25] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:47:33] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:48:41] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:49:50] OCR Snapshot: 6.7614 | USD/KZT: 461.90 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7697 | Diff: 0.12%
[11:50:58] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:52:07] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:53:15] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:54:23] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:55:32] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:56:40] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:57:49] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[11:58:59] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:00:07] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:01:15] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:02:23] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:03:31] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:04:39] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:05:47] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:06:56] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:08:05] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:09:13] OCR Snapshot: 6.7614 | USD/KZT: 461.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7698 | Diff: 0.12%
[12:10:22] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:11:30] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:12:40] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:13:48] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:14:56] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:16:04] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:17:12] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:18:20] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:19:28] OCR Snapshot: 6.7614 | USD/KZT: 462.10 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7725 | Diff: 0.16%
[12:20:36] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:21:45] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:22:53] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:24:01] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:25:10] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:26:18] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:27:26] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:28:34] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:29:42] OCR Snapshot: 6.7614 | USD/KZT: 462.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7733 | Diff: 0.18%
[12:30:51] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:32:00] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:33:10] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:34:18] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:35:26] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:36:34] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:37:43] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:38:51] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:39:59] OCR Snapshot: 6.7614 | USD/KZT: 462.08 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7723 | Diff: 0.16%
[12:41:09] OCR Snapshot: 6.7614 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:42:17] OCR Snapshot: 6.7614 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:43:25] OCR Snapshot: 6.7614 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:44:34] OCR Snapshot: 6.7614 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
