[00:01:10] OCR Snapshot: 6.9787 | USD/KZT: 459.80 | FRHC: (Live:153.07, Pre:N/A, Post:N/A) | Calculated: 7.0382 | Diff: 0.84%
[00:35:11] OCR Snapshot: 6.9435 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.23%
[00:36:25] OCR Snapshot: 6.9435 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.23%
[00:37:38] OCR Snapshot: 6.9490 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.16%
[00:38:50] OCR Snapshot: 6.9490 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.16%
[00:40:02] OCR Snapshot: 6.9490 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.16%
[00:41:14] OCR Snapshot: 6.9490 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.16%
[00:42:27] OCR Snapshot: 6.9490 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.16%
[00:43:40] OCR Snapshot: 6.9458 | USD/KZT: 460.04 | FRHC: (Live:152.82, Pre:N/A, Post:N/A) | Calculated: 7.0303 | Diff: 1.20%
[00:44:51] OCR Snapshot: 6.9458 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.86%
[00:46:03] OCR Snapshot: 6.9673 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.55%
[00:47:15] OCR Snapshot: 6.9673 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.55%
[00:48:28] OCR Snapshot: 6.9792 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.38%
[00:49:41] OCR Snapshot: 6.9792 | USD/KZT: 460.04 | FRHC: (Live:152.29, Pre:N/A, Post:N/A) | Calculated: 7.0059 | Diff: 0.38%
[00:50:53] OCR Snapshot: 6.9792 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.70%
[00:52:04] OCR Snapshot: 6.9723 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.80%
[00:53:17] OCR Snapshot: 6.9723 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.80%
[00:54:28] OCR Snapshot: 6.9723 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.80%
[00:55:40] OCR Snapshot: 6.9650 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.90%
[00:56:51] OCR Snapshot: 6.9723 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.80%
[00:58:01] OCR Snapshot: 6.9613 | USD/KZT: 460.04 | FRHC: (Live:152.78, Pre:N/A, Post:N/A) | Calculated: 7.0284 | Diff: 0.95%
[00:59:14] OCR Snapshot: 6.9572 | USD/KZT: 460.04 | FRHC: (Live:152.27, Pre:N/A, Post:N/A) | Calculated: 7.0050 | Diff: 0.68%
[01:00:25] OCR Snapshot: 6.9673 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:N/A) | Calculated: 6.9925 | Diff: 0.36%
[01:01:37] OCR Snapshot: 6.9572 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.00) | Calculated: 6.9465 | Diff: 0.15%
[01:02:48] OCR Snapshot: 6.9572 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.00) | Calculated: 6.9465 | Diff: 0.15%
[01:03:59] OCR Snapshot: 6.9494 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.00) | Calculated: 6.9465 | Diff: 0.04%
[01:05:10] OCR Snapshot: 6.9627 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.43%
[01:06:21] OCR Snapshot: 6.9577 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.50%
[01:07:33] OCR Snapshot: 6.9627 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.43%
[01:08:46] OCR Snapshot: 6.9572 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.70) | Calculated: 7.0247 | Diff: 0.96%
[01:09:59] OCR Snapshot: 6.9485 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.70) | Calculated: 7.0247 | Diff: 1.09%
[01:11:12] OCR Snapshot: 6.9577 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.50%
[01:12:24] OCR Snapshot: 6.9517 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.58%
[01:13:35] OCR Snapshot: 6.9517 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 0.58%
[01:14:56] OCR Snapshot: 6.9060 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:152.00) | Calculated: 6.9925 | Diff: 1.24%
[01:16:09] OCR Snapshot: 6.9837 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9511 | Diff: 0.47%
[01:17:21] OCR Snapshot: 6.9106 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9511 | Diff: 0.58%
[01:18:32] OCR Snapshot: 6.9106 | USD/KZT: 459.80 | FRHC: (Live:152.00, Pre:N/A, Post:151.76) | Calculated: 6.9779 | Diff: 0.96%
[01:19:43] OCR Snapshot: 6.9408 | USD/KZT: 460.04 | FRHC: (Live:152.00, Pre:N/A, Post:151.15) | Calculated: 6.9534 | Diff: 0.18%
[01:20:55] OCR Snapshot: 6.9129 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9529 | Diff: 0.58%
[01:22:07] OCR Snapshot: 6.9106 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9529 | Diff: 0.61%
[01:23:17] OCR Snapshot: 6.9746 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0174 | Diff: 0.61%
[01:24:27] OCR Snapshot: 6.9746 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.50) | Calculated: 6.9713 | Diff: 0.05%
[01:25:38] OCR Snapshot: 6.9289 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.60) | Calculated: 6.9759 | Diff: 0.67%
[01:26:49] OCR Snapshot: 6.9334 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.70) | Calculated: 6.9806 | Diff: 0.68%
[01:27:59] OCR Snapshot: 6.9380 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.70) | Calculated: 6.9806 | Diff: 0.61%
[01:29:10] OCR Snapshot: 6.9106 | USD/KZT: 460.15 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9529 | Diff: 0.61%
[01:30:21] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9514 | Diff: 0.59%
[01:31:31] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9514 | Diff: 0.59%
[01:32:43] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9514 | Diff: 0.59%
[01:33:55] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9514 | Diff: 0.59%
[01:35:06] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.10) | Calculated: 6.9514 | Diff: 0.59%
[01:36:18] OCR Snapshot: 6.9106 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.20) | Calculated: 7.0480 | Diff: 1.95%
[01:37:31] OCR Snapshot: 7.0066 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.99) | Calculated: 7.0844 | Diff: 1.10%
[01:38:42] OCR Snapshot: 7.0427 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.99) | Calculated: 7.0844 | Diff: 0.59%
[01:39:53] OCR Snapshot: 7.0427 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.99) | Calculated: 7.0844 | Diff: 0.59%
[01:41:03] OCR Snapshot: 7.0427 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.99) | Calculated: 7.0844 | Diff: 0.59%
[01:42:13] OCR Snapshot: 7.0427 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:153.99) | Calculated: 7.0844 | Diff: 0.59%
[01:43:25] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:44:36] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:45:47] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:47:00] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:48:10] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:49:21] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[01:50:33] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 1.04%
[01:51:43] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:52:55] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:54:05] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:55:16] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:56:27] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:57:37] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:152.50) | Calculated: 7.0158 | Diff: 0.59%
[01:58:48] OCR Snapshot: 6.9746 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.13%
[01:59:59] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:01:09] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:02:23] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:03:34] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:04:44] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:05:55] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:07:07] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:08:19] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:09:30] OCR Snapshot: 6.9426 | USD/KZT: 460.06 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9836 | Diff: 0.59%
[02:10:41] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:11:53] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:13:04] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:14:15] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:15:25] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:16:36] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:17:47] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:18:59] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:20:11] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:21:22] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:22:34] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:23:45] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:24:56] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:26:07] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:27:20] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:28:30] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:29:42] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:30:54] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:32:05] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:33:17] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:34:27] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:35:37] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:36:47] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:37:57] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:39:08] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:40:18] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:41:28] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:42:40] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:43:51] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:45:02] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:46:13] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:47:25] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:48:35] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:49:45] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:50:56] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:52:06] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:53:16] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:54:26] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:55:37] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:56:48] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:58:00] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[02:59:10] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:00:20] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:01:31] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:02:42] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:03:53] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:05:03] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:06:13] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:07:24] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:08:34] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:09:46] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
